"","store","upc","week","move","price","profit","descrip","custcoun","brand","adjstore","wp","mks","market","summks","csame","cdiff","Prod1","Prod2","Prod3","Prod4","Prod5","Prod6","Prod7","Prod8","Prod9","Prod10","Prod11","os","y","avg_price_product","pricediff_product","withingroupshare","estimateddi"
"29",98,3410057306,93,98,0.0381597222222222,0.64,"MILLER LITE BEER",27892,34100,1,0.0379155,0.00351355227305321,"98_93",0.0186791911659257,6,4,0,0,0,0,0,0,1,0,0,0,0,0.981320808834074,-5.63227185905039,0.0381597222222222,0,0.18809980806142,-5.57826552762432
"30",98,3410057528,93,28,0.0471527777777778,16.27,"MILLER LITE BEER N.R",27892,34100,1,0.0394810208333333,0.0010038720780152,"98_93",0.0186791911659257,6,4,0,0,0,0,0,0,0,1,0,0,0,0.981320808834074,-6.88503482754576,0.0471527777777778,0,0.053742802303263,-6.88360894572547
"31",98,3410057602,93,91,0.038125,3.55,"MILLER LITE BEER",27892,34100,1,0.0367715625,0.0032625842535494,"98_93",0.0186791911659257,6,4,0,0,0,0,0,0,0,0,1,0,0,0.981320808834074,-5.70637983120411,0.038125,0,0.174664107485605,-5.65775771400055
"32",98,7336011341,93,28,0.0471527777777778,17.45,"OLD STYLE BEER",27892,73360,1,0.0389246180555556,0.0010038720780152,"98_93",0.0186791911659257,1,9,0,0,0,0,0,0,0,0,0,1,0,0.981320808834074,-6.88503482754576,0.0471527777777778,0,0.053742802303263,-6.88360894572547
"33",98,7336011751,93,61,0.0484722222222222,19.71,"OLD STYLE BEER",27892,73360,1,0.0389183472222222,0.00218700702710455,"98_93",0.0186791911659257,1,9,0,0,0,0,0,0,0,0,0,0,1,0.981320808834074,-6.10636547354765,0.0484722222222222,0,0.117082533589251,-6.08049574081729
"34",98,1820000016,94,19,0.0498611111111111,21.3,"BUDWEISER BEER",30186,18200,1,0.0392406944444444,0.000629430861989001,"98_94",0.0190816935002982,1,9,1,0,0,0,0,0,0,0,0,0,0,0.980918306499702,-7.3514284419292,0.0498611111111111,0,0.0329861111111111,-7.3580260153423
"35",98,1820011168,94,38,0.0381597222222222,2.82,"BUDWEISER BEER",30186,18200,1,0.0370836180555556,0.001258861723978,"98_94",0.0190816935002982,1,9,0,1,0,0,0,0,0,0,0,0,0,0.980918306499702,-6.65828126136925,0.038545524691358,-0.000385802469135804,0.0659722222222222,-6.65204775653151
"36",98,3410000354,94,35,0.05125,22.98,"MILLER LITE BEER",30186,34100,1,0.03947275,0.00115947790366395,"98_94",0.0190816935002982,6,4,0,0,1,0,0,0,0,0,0,0,0,0.980918306499702,-6.74051935960622,0.05125,0,0.0607638888888889,-6.7363227919204
"37",98,3410000554,94,6,0.05125,22.98,"MILLER GENUINE DRAFT",30186,34100,1,0.03947275,0.000198767640628106,"98_94",0.0190816935002982,6,4,0,0,0,1,0,0,0,0,0,0,0,0.980918306499702,-8.50410795186758,0.05125,0,0.0104166666666667,-8.51939077495975
"38",98,3410017306,94,95,0.0329513888888889,15.06,"MILLER GENUINE DRAFT",30186,34100,1,0.0279889097222222,0.00314715430994501,"98_94",0.0190816935002982,6,4,0,0,0,0,1,0,0,0,0,0,0,0.980918306499702,-5.7419905294951,0.0329513888888889,0,0.164930555555556,-5.69624536997991
"39",98,3410017505,94,62,0.0415277777777778,2.44,"MILLER GEN DRFT LNNR",30186,34100,1,0.0405145,0.00205393228649043,"98_94",0.0190816935002982,6,4,0,0,0,0,0,1,0,0,0,0,0,0.980918306499702,-6.16873303605055,0.0415277777777778,0,0.107638888888889,-6.14605291915247
"40",98,3410057306,94,182,0.0329513888888889,15.06,"MILLER LITE BEER",30186,34100,1,0.0279889097222222,0.00602928509905254,"98_94",0.0190816935002982,6,4,0,0,0,0,0,0,1,0,0,0,0,0.980918306499702,-5.09186073401884,0.0330941358024691,-0.000142746913580245,0.315972222222222,-4.98262766910936
"41",98,3410057528,94,23,0.0471527777777778,16.27,"MILLER LITE BEER N.R",30186,34100,1,0.0394810208333333,0.000761942622407739,"98_94",0.0190816935002982,6,4,0,0,0,0,0,0,0,1,0,0,0,0.980918306499702,-7.16037320516649,0.0471527777777778,0,0.0399305555555556,-7.16428314677974
